countryCode,name,toponymName
ID,Provinsi Maluku,Provinsi Maluku
ID,수마트라우타라 주,North Sumatra
ID,Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan
ID,Provinsi Jawa Tengah,Provinsi Jawa Tengah
ID,자와바랏 주,Jawa Barat
ID,Provinsi Jambi,Provinsi Jambi
ID,Provinsi Papua Barat,Provinsi Papua Barat
ID,Provinsi Sulawesi Barat,Provinsi Sulawesi Barat
ID,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung
ID,Propinsi Bengkulu,Propinsi Bengkulu
ID,Provinsi Lampung,Provinsi Lampung
ID,West Nusa Tenggara,West Nusa Tenggara
ID,Nanggroe Aceh Darussalam Province,Nanggroe Aceh Darussalam Province
ID,Southwest Papua,Southwest Papua
ID,Central Papua,Central Papua
ID,Highland Papua,Highland Papua
ID,Daerah Khusus Ibukota Jakarta,Daerah Khusus Ibukota Jakarta
ID,Daerah Istimewa Yogyakarta,Daerah Istimewa Yogyakarta
ID,반텐 주,Banten
ID,Provinsi Gorontalo,Provinsi Gorontalo
ID,발리 섬,Provinsi Bali
ID,Provinsi Kepulauan Riau,Provinsi Kepulauan Riau
ID,North Kalimantan,North Kalimantan
CV,Concelho do Porto Novo,Concelho do Porto Novo
CV,Concelho da Ribeira Brava,Concelho da Ribeira Brava
CV,Concelho de Santa Catarina do Fogo,Concelho de Santa Catarina do Fogo
CV,Concelho de São Salvador do Mundo,Concelho de São Salvador do Mundo
CV,Concelho do Tarrafal de São Nicolau,Concelho do Tarrafal de São Nicolau
CV,São Lourenço dos Órgãos,São Lourenço dos Órgãos
CV,Concelho de Ribeira Grande de Santiago,Concelho de Ribeira Grande de Santiago
CV,Concelho dos Mosteiros,Concelho dos Mosteiros
CV,Concelho de Santa Cruz,Concelho de Santa Cruz
CV,Concelho de São Domingos,Concelho de São Domingos
CV,Concelho do São Filipe,Concelho do São Filipe
CV,Concelho de São Miguel,Concelho de São Miguel
CV,Concelho do Tarrafal,Concelho do Tarrafal
CV,Concelho de São Vicente,Concelho de São Vicente
CV,Concelho de Santa Catarina,Concelho de Santa Catarina
CV,Sal Municipality,Sal Municipality
CV,Concelho da Ribeira Grande,Concelho da Ribeira Grande
CV,Concelho da Praia,Concelho da Praia
CV,Concelho do Paul,Concelho do Paul
CV,Concelho do Maio,Concelho do Maio
CV,Concelho da Brava,Concelho da Brava
CV,Concelho da Boa Vista,Concelho da Boa Vista
KN,Trinity Palmetto Point,Trinity Palmetto Point
KN,Saint Thomas Middle Island,Saint Thomas Middle Island
KN,Saint Thomas Lowland,Saint Thomas Lowland
KN,Saint Peter Basseterre,Saint Peter Basseterre
KN,Saint Paul Charlestown,Saint Paul Charlestown
KN,Saint Paul Capesterre,Saint Paul Capesterre
KN,Saint Mary Cayon,Saint Mary Cayon
KN,Saint John Figtree,Saint John Figtree
KN,Saint John Capesterre,Saint John Capesterre
KN,Saint James Windward,Saint James Windward
KN,Saint George Gingerland,Saint George Gingerland
KN,Saint George Basseterre,Saint George Basseterre
KN,Saint Anne Sandy Point,Saint Anne Sandy Point
KN,Christ Church Nichola Town,Christ Church Nichola Town
LA,루앙프라방 주,Luang Prabang Province
LA,사이냐불리 주,Xaignabouli
LA,사완나켓 주,Khouèng Savannakhét
LA,살라완 주,Salavan
LA,퐁살리 주,Khouèng Phôngsali
LA,우돔싸이 주,Khouèng Oudômxai
LA,루앙남타 주,Louangnamtha
LA,캄무안 주,Khammouan
LA,후아판 주,Houaphan
LA,참빠삭 주,Champasak
LA,앗타푸 주,Attapu
LA,씨앙쿠앙 주,Xiangkhouang
LA,비엔티안 주,Vientiane Province
LA,세콩 주,Khouèng Xékong
LA,보케오 주,Khouèng Bokèo
LA,볼리캄사이 주,Bolikhamxai
LA,비엔티안 도,Vientiane Prefecture
LA,Xaisomboun Province,Xaisomboun Province
BQ,Bonaire,Bonaire
BQ,Saba,Saba
BQ,신트외스타티위스 섬,Sint Eustatius
UG,중부주,Central Region
UG,동부주,Eastern Region
UG,북부주,Northern Region
UG,서부주,Western Region
AD,에스칼데스엔고르단,Escaldes-Engordany
AD,Andorra la Vella,Andorra la Vella
AD,산줄리아데로리아,Sant Julià de Lòria
AD,우르디누,Ordino
AD,라마사나,La Massana
AD,엥캄,Encamp
AD,카닐료,Canillo
BI,부줌부라 도시주,Bujumbura Mairie Province
BI,부줌부라 교외주,Bujumbura Rural Province
BI,기테가주,Gitega Province
BI,루이기주,Ruyigi Province
BI,캉쿠조주,Cankuzo Province
BI,카루지주,Karuzi Province
BI,부반자주,Bubanza Province
BI,치비토케주,Cibitoke Province
BI,응고지주,Ngozi Province
BI,카얀자주,Kayanza Province
BI,무잉가주,Muyinga Province
BI,키룬도주,Kirundo Province
BI,마캄바주,Makamba Province
BI,부루리주,Bururi Province
BI,무람비야주,Muramvya Province
BI,루타나주,Rutana Province
BI,음와로주,Province de Mwaro
BI,루몽게주,Rumonge Province
ZA,림포포주,Limpopo
ZA,노스웨스트주,North West
ZA,웨스턴케이프주,Western Cape
ZA,프리스테이트주,Free State
ZA,콰줄루나탈주,KwaZulu-Natal
ZA,이스턴케이프주,Eastern Cape
ZA,하우텡주,Gauteng
ZA,음푸말랑가주,Mpumalanga
ZA,노던케이프주,Northern Cape
FR,누벨아키텐,Nouvelle-Aquitaine
FR,브르타뉴,Bretagne
FR,상트르,Centre-Val de Loire
FR,프로방스알프코트다쥐르,Provence-Alpes-Côte d'Azur
FR,페이드라루아르,Pays de la Loire
FR,부르고뉴프랑슈콩테,Bourgogne-Franche-Comté
FR,노르망디,Normandie
FR,그랑테스트,Grand Est
FR,옥시타니,Occitanie
FR,오드프랑스,Hauts-de-France
FR,오베르뉴론알프,Auvergne-Rhône-Alpes
FR,코르시카,Corse
FR,일드프랑스,Île-de-France
RE,레위니옹,Réunion
GP,과들루프,Guadeloupe
MQ,마르티니크,Martinique
GF,프랑스령 기아나,Guyane
LY,Al Wāḩāt,Al Wāḩāt
LY,알쿠프라 주,Al Kufrah
LY,Wādī ash Shāţi’,Wādī ash Shāţi’
LY,주프라 주,Al Jufrah
LY,무르주크주,Murzuq
LY,Al Buţnān,Al Buţnān
LY,알자발알가르비 주,Jabal al Gharbi District
LY,Wādī al Ḩayāt,Wādī al Ḩayāt
LY,Surt,Surt
LY,Nālūt,Nālūt
LY,Sha‘bīyat Mişrātah,Sha‘bīyat Mişrātah
LY,Ghāt,Ghāt
LY,An Nuqāţ al Khams,An Nuqāţ al Khams
LY,Al Jabal al Akhḑar,Al Jabal al Akhḑar
LY,Al Jafārah,Al Jafārah
LY,Al Marqab,Al Marqab
LY,Darnah,Darnah
LY,Sha‘bīyat Banghāzī,Sha‘bīyat Banghāzī
LY,Al Marj,Al Marj
LY,Az Zāwiyah,Az Zāwiyah
LY,Tripoli,Tripoli
LY,세바주,Sabhā
MX,유카탄주,Estado de Yucatán
MX,오아하카주,Estado de Oaxaca
MX,베라크루스주,Estado de Veracruz-Llave
MX,타마울리파스주,Estado de Tamaulipas
MX,두랑고주,Estado de Durango
MX,할리스코주,Estado de Jalisco
MX,코아우일라주,Estado de Coahuila de Zaragoza
MX,치와와주,Estado de Chihuahua
MX,바하칼리포르니아수르주,Estado de Baja California Sur
MX,바하 칼리포르니아 주,Estado de Baja California
MX,소노라주,Estado de Sonora
MX,시날로아주,Estado de Sinaloa
MX,사카테카스주,Estado de Zacatecas
MX,멕시코주,Estado de México
MX,게레로주,Estado de Guerrero
MX,킨타나로오주,Estado de Quintana Roo
MX,푸에블라주,Estado de Puebla
MX,Estado de Nuevo León,Estado de Nuevo León
MX,치아파스 주,Estado de Chiapas
MX,캄페체주,Estado de Campeche
MX,산루이스포토시주,Estado de San Luis Potosí
MX,콜리마주,Estado de Colima
MX,나야리트주,Estado de Nayarit
MX,미초아칸주,Estado de Michoacán de Ocampo
MX,이달고주,Estado de Hidalgo
MX,멕시코시티,Ciudad de México
MX,케레타로주,Estado de Querétaro
MX,모렐로스주,Estado de Morelos
MX,틀락스칼라주,Estado de Tlaxcala
MX,타바스코주,Estado de Tabasco
MX,Estado de Guanajuato,Estado de Guanajuato
MX,아과스칼리엔테스주,Estado de Aguascalientes
GA,월뢰은템주,Province du Woleu-Ntem
GA,오고웨마리팀주,Province de l’Ogooué-Maritime
GA,Province de l’Ogooué-Lolo,Province de l’Ogooué-Lolo
GA,오고웨이빈도주,Province de l’Ogooué-Ivindo
GA,냥가주,Province de la Nyanga
GA,Province de la Ngounié,Province de la Ngounié
GA,오트오고웨주,Province du Haut-Ogooué
GA,무아얭오고웨주,Province du Moyen-Ogooué
GA,에스튀에르주,Estuaire
MP,Northern Islands Municipality,Northern Islands Municipality
MP,Rota Municipality,Rota Municipality
MP,사이판,Saipan Municipality
MP,Tinian Municipality,Tinian Municipality
MK,Opština Pehčevo,Opština Pehčevo
MK,Novo Selo,Novo Selo
MK,보실로보시,Bosilovo
MK,Vasilevo,Vasilevo
MK,Opština Dojran,Opština Dojran
MK,보그단치시,Bogdanci
MK,Opština Konče,Opština Konče
MK,마케돈스카카메니차시,Makedonska Kamenica
MK,즈르노프치시,Zrnovci
MK,카르빈치시,Karbinci
MK,Demir Kapija,Demir Kapija
MK,로소만시,Rosoman
MK,그라드스코시,Gradsko
MK,로조보시,Lozovo
MK,Češinovo-Obleševo,Češinovo-Obleševo
MK,Novaci,Novaci
MK,Berovo,Berovo
MK,Bitola,Bitola
MK,Mogila,Mogila
MK,Opština Aračinovo,Opština Aračinovo
MK,Bogovinje,Bogovinje
MK,브르베니차 시,Brvenica
MK,차슈카시,Opština Čaška
MK,Opština Centar Župa,Opština Centar Župa
MK,Opština Čučer-Sandevo,Opština Čučer-Sandevo
MK,Debar,Debar
MK,Opština Delčevo,Opština Delčevo
MK,Demir Hisar,Demir Hisar
MK,돌네니시,Dolneni
MK,Gevgelija,Gevgelija
MK,고스티바르,Gostivar
MK,일린덴시,Ilinden
MK,예구노브체 시,Jegunovce
MK,Kavadarci,Kavadarci
MK,Opština Kičevo,Opština Kičevo
MK,Opština Kočani,Opština Kočani
MK,Kriva Palanka,Kriva Palanka
MK,Opština Krivogaštani,Opština Krivogaštani
MK,Opština Kruševo,Opština Kruševo
MK,Kumanovo,Kumanovo
MK,Opština Lipkovo,Opština Lipkovo
MK,Makedonski Brod,Makedonski Brod
MK,Negotino,Negotino
MK,Ohrid,Ohrid
MK,Petrovec,Petrovec
MK,플라스니차시,Plasnica
MK,Prilep,Prilep
MK,Opština Probištip,Opština Probištip
MK,Opština Radoviš,Opština Radoviš
MK,Opština Rankovce,Opština Rankovce
MK,마브로보로스투샤시,Opština Mavrovo i Rostuše
MK,Opština Sopište,Opština Sopište
MK,Opština Staro Nagoričane,Opština Staro Nagoričane
MK,Opština Štip,Opština Štip
MK,Struga,Struga
MK,Strumica,Strumica
MK,Opština Studeničani,Opština Studeničani
MK,스베티니콜레시,Sveti Nikole
MK,테아르체시,Tearce
MK,Tetovo,Tetovo
MK,Veles,Veles
MK,Opština Vevčani,Opština Vevčani
MK,Vinica,Vinica
MK,Opština Vrapčište,Opština Vrapčište
MK,Zelenikovo,Zelenikovo
MK,Opština Želino,Opština Želino
MK,발란도보시,Valandovo
MK,Kratovo,Kratovo
MK,레센시,Resen
MK,데바르차시,Debarca
MK,Grad Skopje,Grad Skopje
CN,Henan Sheng,Henan Sheng
CN,Hebei Sheng,Hebei Sheng
CN,Guizhou Sheng,Guizhou Sheng
CN,Guangdong Sheng,Guangdong Sheng
CN,Gansu Sheng,Gansu Sheng
CN,푸젠 성,Fujian Sheng
CN,Zhejiang Sheng,Zhejiang Sheng
CN,Yunnan Sheng,Yunnan Sheng
CN,Shandong Sheng,Shandong Sheng
CN,산시 성,Shaanxi
CN,Chongqing Shi,Chongqing Shi
CN,Jiangxi Sheng,Jiangxi Sheng
CN,Jiangsu Sheng,Jiangsu Sheng
CN,Hunan Sheng,Hunan Sheng
CN,후베이 성,Hubei Sheng
